"season","Date","hsa_nci_id","county","value_flu","value_all","value","population","cluster","target_end_date"
"2022/23","2022-08-07",509,"Anderson",0,723,0,57825,"1",2022-08-13
"2022/23","2022-08-07",937,"Andrews",2,185,0.0108108108108108,18518,"2",2022-08-13
"2022/23","2022-08-07",449,"Angelina",1,970,0.00103092783505155,86791,"1",2022-08-13
"2022/23","2022-08-07",437,"Aransas",0,102,0,24449,"2",2022-08-13
"2022/23","2022-08-07",420,"Archer",0,32,0,8734,"3",2022-08-13
"2022/23","2022-08-07",405,"Armstrong",0,12,0,1883,"4",2022-08-13
"2022/23","2022-08-07",410,"Atascosa",0,560,0,50058,"2",2022-08-13
"2022/23","2022-08-07",408,"Austin",0,180,0,30712,"5",2022-08-13
"2022/23","2022-08-07",406,"Bailey",0,23,0,7044,"4",2022-08-13
"2022/23","2022-08-07",410,"Bandera",0,136,0,21589,"2",2022-08-13
"2022/23","2022-08-07",425,"Bastrop",0,1001,0,102370,"6",2022-08-13
"2022/23","2022-08-07",420,"Baylor",0,55,0,3464,"4",2022-08-13
"2022/23","2022-08-07",513,"Bee",0,346,0,31000,"5",2022-08-13
"2022/23","2022-08-07",452,"Bell",3,4418,0.000679040289723857,379811,"6",2022-08-13
"2022/23","2022-08-07",410,"Bexar",10,14039,0.000712301445971935,2037344,"2",2022-08-13
"2022/23","2022-08-07",506,"Blanco",0,499,0,12008,"6",2022-08-13
"2022/23","2022-08-07",406,"Borden",0,4,0,723,"4",2022-08-13
"2022/23","2022-08-07",462,"Bosque",0,111,0,18546,"3",2022-08-13
"2022/23","2022-08-07",925,"Bowie",1,989,0.00101112234580384,92321,"7",2022-08-13
"2022/23","2022-08-07",505,"Brazoria",3,4188,0.000716332378223496,381650,"5",2022-08-13
"2022/23","2022-08-07",464,"Brazos",0,2595,0,237980,"6",2022-08-13
"2022/23","2022-08-07",526,"Brewster",0,58,0,9464,"2",2022-08-13
"2022/23","2022-08-07",405,"Briscoe",0,10,0,1223,"4",2022-08-13
"2022/23","2022-08-07",437,"Brooks",1,98,0.0102040816326531,6987,"2",2022-08-13
"2022/23","2022-08-07",468,"Brown",0,58,0,38294,"6",2022-08-13
"2022/23","2022-08-07",464,"Burleson",0,306,0,18327,"6",2022-08-13
"2022/23","2022-08-07",425,"Burnet",0,506,0,51064,"6",2022-08-13
"2022/23","2022-08-07",510,"Caldwell",0,485,0,47184,"6",2022-08-13
"2022/23","2022-08-07",433,"Calhoun",0,237,0,19921,"5",2022-08-13
"2022/23","2022-08-07",428,"Callahan",0,44,0,14017,"4",2022-08-13
"2022/23","2022-08-07",520,"Cameron",16,3129,0.00511345477788431,423192,"2",2022-08-13
"2022/23","2022-08-07",465,"Camp",1,144,0.00694444444444444,12652,"7",2022-08-13
"2022/23","2022-08-07",405,"Carson",0,33,0,5802,"4",2022-08-13
"2022/23","2022-08-07",485,"Cass",0,300,0,28582,"7",2022-08-13
"2022/23","2022-08-07",481,"Castro",0,21,0,7328,"4",2022-08-13
"2022/23","2022-08-07",408,"Chambers",0,641,0,49178,"5",2022-08-13
"2022/23","2022-08-07",509,"Cherokee",5,879,0.00568828213879408,51143,"1",2022-08-13
"2022/23","2022-08-07",512,"Childress",1,43,0.0232558139534884,6772,"4",2022-08-13
"2022/23","2022-08-07",420,"Clay",0,52,0,10402,"3",2022-08-13
"2022/23","2022-08-07",406,"Cochran",1,14,0.0714285714285714,2520,"4",2022-08-13
"2022/23","2022-08-07",426,"Coke",0,2,0,3315,"4",2022-08-13
"2022/23","2022-08-07",468,"Coleman",0,23,0,7765,"6",2022-08-13
"2022/23","2022-08-07",453,"Collin",6,7511,0.000798828385035282,1116601,"7",2022-08-13
"2022/23","2022-08-07",524,"Collingsworth",0,3,0,2733,"4",2022-08-13
"2022/23","2022-08-07",490,"Colorado",0,70,0,20736,"5",2022-08-13
"2022/23","2022-08-07",517,"Comal",3,1263,0.00237529691211401,174552,"6",2022-08-13
"2022/23","2022-08-07",507,"Comanche",0,130,0,13786,"3",2022-08-13
"2022/23","2022-08-07",426,"Concho",0,17,0,3301,"6",2022-08-13
"2022/23","2022-08-07",495,"Cooke",0,459,0,42473,"3",2022-08-13
"2022/23","2022-08-07",452,"Coryell",0,440,0,83772,"6",2022-08-13
"2022/23","2022-08-07",512,"Cottle",0,0,0,1302,"4",2022-08-13
"2022/23","2022-08-07",444,"Crane",0,36,0,4623,"2",2022-08-13
"2022/23","2022-08-07",426,"Crockett",0,6,0,2881,"2",2022-08-13
"2022/23","2022-08-07",406,"Crosby",0,36,0,5072,"4",2022-08-13
"2022/23","2022-08-07",415,"Culberson",0,5,0,2181,"2",2022-08-13
"2022/23","2022-08-07",405,"Dallam",0,13,0,7180,"4",2022-08-13
"2022/23","2022-08-07",453,"Dallas",27,25987,0.00103898102897603,2603816,"7",2022-08-13
"2022/23","2022-08-07",406,"Dawson",0,167,0,12311,"4",2022-08-13
"2022/23","2022-08-07",491,"Deaf Smith",1,182,0.0054945054945055,18487,"4",2022-08-13
"2022/23","2022-08-07",931,"Delta",0,67,0,5345,"7",2022-08-13
"2022/23","2022-08-07",495,"Denton",5,6411,0.000779909530494463,945644,"7",2022-08-13
"2022/23","2022-08-07",433,"DeWitt",0,233,0,19853,"5",2022-08-13
"2022/23","2022-08-07",406,"Dickens",0,11,0,1641,"4",2022-08-13
"2022/23","2022-08-07",531,"Dimmit",0,96,0,8507,"2",2022-08-13
"2022/23","2022-08-07",405,"Donley",0,27,0,3276,"4",2022-08-13
"2022/23","2022-08-07",437,"Duval",0,149,0,9824,"2",2022-08-13
"2022/23","2022-08-07",428,"Eastland",0,92,0,17846,"3",2022-08-13
"2022/23","2022-08-07",444,"Ector",1,1436,0.000696378830083565,163206,"2",2022-08-13
"2022/23","2022-08-07",506,"Edwards",0,18,0,1392,"2",2022-08-13
