"county","hsa_nci_id"
"Anderson",509
"Cherokee",509
"Houston",509
"Angelina",449
"Polk",449
"Trinity",449
"Walker",449
"Bee",513
"Karnes",513
"Bell",452
"Coryell",452
"Lampasas",452
"Milam",452
"Atascosa",410
"Bandera",410
"Bexar",410
"Frio",410
"Gonzales",410
"Guadalupe",410
"Kendall",410
"La Salle",410
"McMullen",410
"Medina",410
"Wilson",410
"Zavala",410
"Bowie",925
"Brazoria",505
"Matagorda",505
"Wharton",505
"Brazos",464
"Burleson",464
"Grimes",464
"Robertson",464
"Washington",464
"Brewster",526
"Jeff Davis",526
"Presidio",526
"Brown",468
"Coleman",468
"Mills",468
"San Saba",468
"Cameron",520
"Willacy",520
"Childress",512
"Cottle",512
"Hall",512
"Collingsworth",524
"Comal",517
"Collin",453
"Dallas",453
"Ellis",453
"Hopkins",453
"Hunt",453
"Kaufman",453
"Rains",453
"Rockwall",453
"Deaf Smith",491
"Parmer",491
"Cooke",495
"Denton",495
"Wise",495
"Dimmit",531
"Crane",444
"Ector",444
"Reeves",444
"Ward",444
"Winkler",444
"Culberson",415
"El Paso",415
"Hudspeth",415
"Loving",415
"Comanche",507
"Erath",507
"Colorado",490
"Fayette",490
"Andrews",937
"Gaines",937
"Galveston",532
"Gray",460
"Hemphill",460
"Roberts",460
"Wheeler",460
"Fannin",930
"Grayson",930
"Gregg",454
"Panola",454
"Rusk",454
"Upshur",454
"Castro",481
"Floyd",481
"Hale",481
"Austin",408
"Chambers",408
"Fort Bend",408
"Harris",408
"Liberty",408
"Montgomery",408
"San Jacinto",408
"Waller",408
"Cass",485
"Harrison",485
"Marion",485
"Caldwell",510
"Hays",510
"Hidalgo",427
"Starr",427
"Glasscock",518
"Howard",518
"Hardin",413
"Jasper",413
"Jefferson",413
"Newton",413
"Orange",413
"Tyler",413
"Blanco",506
"Edwards",506
"Gillespie",506
"Kerr",506
"Kimble",506
"Mason",506
"Real",506
"Delta",931
"Lamar",931
"Red River",931
"Leon",501
"Madison",501
"Lipscomb",935
"Bailey",406
"Borden",406
"Cochran",406
"Crosby",406
"Dawson",406
"Dickens",406
"Garza",406
"Hockley",406
"King",406
"Lamb",406
"Lubbock",406
"Lynn",406
"Motley",406
"Kinney",516
"Maverick",516
"Val Verde",516
"Bosque",462
"Falls",462
"Hamilton",462
"Hill",462
"Limestone",462
"McLennan",462
"Martin",492
"Midland",492
"Pecos",492
"Terrell",492
"Upton",492
"Nacogdoches",447
"Sabine",447
"San Augustine",447
"Shelby",447
"Freestone",489
"Navarro",489
"Fisher",503
"Mitchell",503
"Nolan",503
"Aransas",437
"Brooks",437
"Duval",437
"Jim Wells",437
"Kenedy",437
"Kleberg",437
"Live Oak",437
"Nueces",437
"San Patricio",437
"Jack",479
"Palo Pinto",479
"Armstrong",405
"Briscoe",405
"Carson",405
"Dallam",405
"Donley",405
"Hansford",405
"Hartley",405
"Hutchinson",405
"Moore",405
"Ochiltree",405
"Oldham",405
"Potter",405
"Randall",405
"Sherman",405
"Swisher",405
"Scurry",519
"Henderson",441
"Smith",441
"Van Zandt",441
"Wood",441
"Hood",434
"Johnson",434
"Parker",434
"Somervell",434
"Tarrant",434
"Callahan",428
"Eastland",428
"Haskell",428
"Jones",428
"Kent",428
"Shackelford",428
"Stephens",428
"Stonewall",428
"Taylor",428
"Terry",514
"Yoakum",514
"Camp",465
"Franklin",465
"Morris",465
"Titus",465
"Coke",426
"Concho",426
"Crockett",426
"Irion",426
"McCulloch",426
"Menard",426
"Reagan",426
"Runnels",426
"Schleicher",426
"Sterling",426
"Sutton",426
"Tom Green",426
"Bastrop",425
"Burnet",425
"Lee",425
"Llano",425
"Travis",425
"Williamson",425
"Uvalde",536
"Calhoun",433
"DeWitt",433
"Goliad",433
"Jackson",433
"Lavaca",433
"Refugio",433
"Victoria",433
"Jim Hogg",538
"Webb",538
"Zapata",538
"Archer",420
"Baylor",420
"Clay",420
"Knox",420
"Montague",420
"Throckmorton",420
"Wichita",420
"Young",420
"Foard",458
"Hardeman",458
"Wilbarger",458
