"method","test_season","season","geo_level","K","lambda_K","n_weeks"
"clustergeoaug","2023/24",NA,"cluster",15,0.544468868520771,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",21,0.636248376440607,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",23,0.641407060239306,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",31,0.679059490441905,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",45,0.722577791288694,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",61,0.764131259100909,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",7,0.416543639091407,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
"clustergeoaug","2023/24",NA,"dshs",8,0.505065904464698,26
"clustergeoaug","2023/24",NA,"hsa",61,0.778340917811925,26
"clustergeoaug","2023/24","2023/24","state",1,0,26
"clustergeoaug","2023/24","2023/24","county",254,1,26
"clustergeoaug","2023/24",NA,"cluster",9,0.44135081017283,26
"clustergeoaug","2023/24",NA,"rac",22,0.63116825057204,26
