"method","test_season","season","geo_level","K","lambda_K","n_weeks"
"redcapaug","2023/24",NA,"cluster",15,0.563777858173257,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",21,0.588183576703529,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",23,0.613072448503084,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",31,0.641293860978127,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",45,0.68292921123669,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",61,0.717151845780723,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",7,0.312767120573803,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2023/24",NA,"cluster",9,0.324415093875802,26
"redcapaug","2023/24",NA,"rac",22,0.63116825057204,26
"redcapaug","2023/24",NA,"dshs",8,0.505065904464698,26
"redcapaug","2023/24",NA,"hsa",61,0.778340917811925,26
"redcapaug","2023/24","2023/24","state",1,0,26
"redcapaug","2023/24","2023/24","county",254,1,26
"redcapaug","2024/25",NA,"cluster",15,0.392977616440072,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",21,0.432514285902133,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
"redcapaug","2024/25",NA,"hsa",61,0.715968742626827,26
"redcapaug","2024/25","2024/25","state",1,0,26
"redcapaug","2024/25","2024/25","county",254,1,26
"redcapaug","2024/25",NA,"cluster",23,0.435992357809268,26
"redcapaug","2024/25",NA,"rac",22,0.552204774795504,26
"redcapaug","2024/25",NA,"dshs",8,0.402993855178498,26
